#ZVView-data-copy::  19-Sep-2026 21:09:28
#=======================================
#
#name:   JENDL-4.0: NP-237(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.40e-5         2.58307e-9      2.69158e-10      #dY:10.4%  
  1.60e-5         2.7613e-9       2.8773e-10       #dY:10.4%  
  1.80e-5         2.92868e-9      3.05171e-10      #dY:10.4%  
  2.20e-5         3.23754e-9      3.37354e-10      #dY:10.4%  
  2.50e-5         3.45106e-9      3.59603e-10      #dY:10.4%  
  2.90e-5         3.71667e-9      3.8728e-10       #dY:10.4%  
  3.40e-5         4.02405e-9      4.13043e-10      #dY:10.3%  
  4.00e-5         4.36435e-9      4.47973e-10      #dY:10.3%  
  4.60e-5         4.6799e-9       4.80362e-10      #dY:10.3%  
  5.40e-5         5.07009e-9      5.20412e-10      #dY:10.3%  
  6.30e-5         5.47581e-9      5.62057e-10      #dY:10.3%  
  7.40e-5         5.93402e-9      6.09089e-10      #dY:10.3%  
  8.60e-5         6.39642e-9      6.56552e-10      #dY:10.3%  
  1.00e-4         6.89666e-9      7.07898e-10      #dY:10.3%  
  1.20e-4         7.5538e-9       7.82102e-10      #dY:10.4%  
  1.40e-4         8.15794e-9      8.44654e-10      #dY:10.4%  
  1.60e-4         8.72013e-9      9.02861e-10      #dY:10.4%  
  1.80e-4         9.24802e-9      9.57518e-10      #dY:10.4%  
  2.20e-4         1.02219e-8      1.05835e-9       #dY:10.4%  
  2.50e-4         1.0895e-8       1.12804e-9       #dY:10.4%  
  2.90e-4         1.17321e-8      1.21471e-9       #dY:10.4%  
  3.40e-4         1.27007e-8      1.3043e-9        #dY:10.3%  
  4.00e-4         1.37726e-8      1.41438e-9       #dY:10.3%  
  4.60e-4         1.47664e-8      1.51644e-9       #dY:10.3%  
  5.40e-4         1.59947e-8      1.64258e-9       #dY:10.3%  
  6.30e-4         1.72716e-8      1.77371e-9       #dY:10.3%  
  7.40e-4         1.8713e-8       1.92174e-9       #dY:10.3%  
  8.60e-4         2.0167e-8       2.07106e-9       #dY:10.3%  
  1.00e-3         2.17393e-8      2.23253e-9       #dY:10.3%  
  1.20e-3         2.38037e-8      2.45014e-9       #dY:10.3%  
  1.40e-3         2.57003e-8      2.64536e-9       #dY:10.3%  
  1.60e-3         2.74642e-8      2.82692e-9       #dY:10.3%  
  1.80e-3         2.91196e-8      2.99731e-9       #dY:10.3%  
  2.20e-3         3.21711e-8      3.3114e-9        #dY:10.3%  
  2.50e-3         3.42782e-8      3.52829e-9       #dY:10.3%  
  2.90e-3         3.68966e-8      3.7978e-9        #dY:10.3%  
  3.40e-3         3.99228e-8      4.05088e-9       #dY:10.1%  
  4.00e-3         4.32678e-8      4.39029e-9       #dY:10.1%  
  4.60e-3         4.63645e-8      4.70451e-9       #dY:10.1%  
  5.40e-3         5.01867e-8      5.09234e-9       #dY:10.1%  
  6.30e-3         5.41524e-8      5.49473e-9       #dY:10.1%  
  7.40e-3         5.862e-8        5.94805e-9       #dY:10.1%  
  8.60e-3         6.3116e-8       6.40425e-9       #dY:10.1%  
  0.01            6.79652e-8      6.89629e-9       #dY:10.1%  
  0.012           7.43105e-8      7.51758e-9       #dY:10.1%  
  0.014           8.01179e-8      8.10509e-9       #dY:10.1%  
  0.016           8.5498e-8       8.64936e-9       #dY:10.1%  
  0.018           9.0528e-8       9.15822e-9       #dY:10.1%  
  0.022           9.97484e-8      1.0091e-8        #dY:10.1%  
  0.025           1.06074e-7      1.07309e-8       #dY:10.1%  
  0.029           1.13883e-7      1.15209e-8       #dY:10.1%  
  0.034           1.22834e-7      1.21401e-8       #dY:9.9%   
  0.04            1.32629e-7      1.31082e-8       #dY:9.9%   
  0.046           1.41598e-7      1.39947e-8       #dY:9.9%   
  0.054           1.52528e-7      1.50749e-8       #dY:9.9%   
  0.063           1.63693e-7      1.61784e-8       #dY:9.9%   
  0.074           1.76044e-7      1.73991e-8       #dY:9.9%   
  0.086           1.88211e-7      1.86016e-8       #dY:9.9%   
  0.1             2.0102e-7       1.98676e-8       #dY:9.9%   
  0.2             2.65998e-7      2.60063e-8       #dY:9.8%   
  0.3             3.05115e-7      3.36579e-8       #dY:11.0%  
  0.4             3.29854e-7      3.63869e-8       #dY:11.0%  
  0.5             3.4496e-7       3.72064e-8       #dY:10.8%  
  0.6             3.53168e-7      3.80917e-8       #dY:10.8%  
  0.7             3.56302e-7      3.88399e-8       #dY:10.9%  
  0.8             3.55583e-7      3.87615e-8       #dY:10.9%  
  0.9             3.51881e-7      3.58977e-8       #dY:10.2%  
  1               3.45837e-7      3.52811e-8       #dY:10.2%  
  1.1             3.37929e-7      3.14484e-8       #dY:9.3%   
  1.2             3.28555e-7      3.05761e-8       #dY:9.3%   
  1.3             3.18121e-7      2.62261e-8       #dY:8.2%   
  1.4             3.06952e-7      2.53053e-8       #dY:8.2%   
  1.5             2.95301e-7      2.06978e-8       #dY:7.0%   
  1.6             2.83372e-7      1.98617e-8       #dY:7.0%   
  1.7             2.71322e-7      1.52923e-8       #dY:5.6%   
