#ZVView-data-copy::  24-Sep-2026 17:15:44
#=======================================
#
#name:   JEFF-4.0: U-238(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  303
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  1.00e-11        1.95793e-12     8.13221e-14      #dY:4.2%   
  2.00e-11        2.76893e-12     1.15007e-13      #dY:4.2%   
  4.00e-11        3.91586e-12     1.62644e-13      #dY:4.2%   
  6.00e-11        4.79593e-12     1.69696e-13      #dY:3.5%   
  8.00e-11        5.53787e-12     1.95949e-13      #dY:3.5%   
  1.00e-10        6.19152e-12     2.56134e-13      #dY:4.1%   
  2.00e-10        8.75614e-12     3.63684e-13      #dY:4.2%   
  4.00e-10        1.23831e-11     5.14329e-13      #dY:4.2%   
  6.00e-10        1.51661e-11     6.2992e-13       #dY:4.2%   
  8.00e-10        1.75123e-11     7.14759e-13      #dY:4.1%   
  1.00e-9         1.95793e-11     7.99123e-13      #dY:4.1%   
  2.00e-9         2.76893e-11     1.14546e-12      #dY:4.1%   
  4.00e-9         3.91586e-11     1.62644e-12      #dY:4.2%   
  6.00e-9         4.79593e-11     1.99198e-12      #dY:4.2%   
  8.00e-9         5.53787e-11     2.26027e-12      #dY:4.1%   
  1.00e-8         6.19152e-11     2.56134e-12      #dY:4.1%   
  2.00e-8         8.75614e-11     3.63684e-12      #dY:4.2%   
  4.00e-8         1.23831e-10     5.14328e-12      #dY:4.2%   
  6.00e-8         1.51661e-10     6.18999e-12      #dY:4.1%   
  8.00e-8         1.75123e-10     7.14758e-12      #dY:4.1%   
  1.00e-7         1.95793e-10     7.99122e-12      #dY:4.1%   
  2.00e-7         2.76893e-10     1.14546e-11      #dY:4.1%   
  4.00e-7         3.91586e-10     1.62644e-11      #dY:4.2%   
  6.00e-7         4.79593e-10     1.99197e-11      #dY:4.2%   
  8.00e-7         5.53786e-10     2.26025e-11      #dY:4.1%   
  1.00e-6         6.19152e-10     2.52704e-11      #dY:4.1%   
  2.00e-6         8.75613e-10     3.62224e-11      #dY:4.1%   
  4.00e-6         1.238302e-9     5.14311e-11      #dY:4.2%   
  6.00e-6         1.516602e-9     6.29899e-11      #dY:4.2%   
  8.00e-6         1.751219e-9     7.147e-11        #dY:4.1%   
  1.00e-5         1.957919e-9     7.99057e-11      #dY:4.1%   
  2.00e-5         2.7689e-9       1.14529e-10      #dY:4.1%   
  4.00e-5         3.915852e-9     1.62598e-10      #dY:4.2%   
  6.00e-5         4.796004e-9     1.99145e-10      #dY:4.2%   
  8.00e-5         5.538085e-9     2.25851e-10      #dY:4.1%   
  1.00e-4         6.191947e-9     2.52517e-10      #dY:4.1%   
  2.00e-4         8.757983e-9     3.61788e-10      #dY:4.1%   
  4.00e-4         1.238836e-8     5.13364e-10      #dY:4.1%   
  6.00e-4         1.517493e-8     6.28838e-10      #dY:4.1%   
  8.00e-4         1.752456e-8     7.1266e-10       #dY:4.1%   
  1.00e-3         1.959485e-8     7.96851e-10      #dY:4.1%   
  2.00e-3         2.771795e-8     1.14165e-9       #dY:4.1%   
  4.00e-3         3.919889e-8     1.62081e-9       #dY:4.1%   
  6.00e-3         4.799482e-8     1.98451e-9       #dY:4.1%   
  8.00e-3         5.539896e-8     2.25355e-9       #dY:4.1%   
  0.01            6.191468e-8     2.5186e-9        #dY:4.1%   
  0.02            8.735644e-8     3.60786e-9       #dY:4.1%   
  0.03            1.066762e-7     4.44398e-9       #dY:4.2%   
  0.04            1.228371e-7     5.11722e-9       #dY:4.2%   
  0.05            1.369583e-7     5.70549e-9       #dY:4.2%   
  0.06            1.496009e-7     6.23216e-9       #dY:4.2%   
  0.07            1.610942e-7     6.69032e-9       #dY:4.2%   
  0.08            1.716792e-7     7.12991e-9       #dY:4.2%   
  0.09            1.815176e-7     7.53851e-9       #dY:4.2%   
  0.1             1.907123e-7     7.92037e-9       #dY:4.2%   
  0.15            2.29604e-7      1.02184e-8       #dY:4.5%   
  0.2             2.601621e-7     1.17766e-8       #dY:4.5%   
  0.25            2.849697e-7     1.31999e-8       #dY:4.6%   
  0.3             3.053596e-7     1.41444e-8       #dY:4.6%   
  0.35            3.221768e-7     1.53759e-8       #dY:4.8%   
  0.4             3.357492e-7     1.60236e-8       #dY:4.8%   
  0.45            3.465888e-7     1.71853e-8       #dY:5.0%   
  0.5             3.546595e-7     1.75855e-8       #dY:5.0%   
  0.55            3.603632e-7     1.82608e-8       #dY:5.1%   
  0.6             3.640259e-7     1.84464e-8       #dY:5.1%   
  0.65            3.660025e-7     1.85483e-8       #dY:5.1%   
  0.7             3.668337e-7     1.85905e-8       #dY:5.1%   
  0.75            3.666696e-7     1.81745e-8       #dY:5.0%   
  0.8             3.656122e-7     1.81221e-8       #dY:5.0%   
  0.85            3.639691e-7     1.73572e-8       #dY:4.8%   
  0.9             3.616429e-7     1.72463e-8       #dY:4.8%   
  0.95            3.58865e-7      1.71138e-8       #dY:4.8%   
  1               3.556291e-7     1.69595e-8       #dY:4.8%   
  1.05            3.518972e-7     1.55218e-8       #dY:4.4%   
  1.1             3.478092e-7     1.53415e-8       #dY:4.4%   
  1.15            3.434445e-7     1.5149e-8        #dY:4.4%   
  1.2             3.38798e-7      1.4944e-8        #dY:4.4%   
  1.25            3.339847e-7     1.29407e-8       #dY:3.9%   
  1.3             3.289672e-7     1.27463e-8       #dY:3.9%   
  1.35            3.238159e-7     1.25467e-8       #dY:3.9%   
  1.4             3.184563e-7     1.2339e-8        #dY:3.9%   
  1.45            3.129443e-7     1.21255e-8       #dY:3.9%   
  1.5             3.073137e-7     1.19073e-8       #dY:3.9%   
  1.55            3.015723e-7     1.16849e-8       #dY:3.9%   
  1.6             2.957164e-7     1.1458e-8        #dY:3.9%   
  1.65            2.897631e-7     8.55322e-9       #dY:3.0%   
  1.7             2.837354e-7     8.37529e-9       #dY:3.0%   
  1.75            2.776294e-7     8.19505e-9       #dY:3.0%   
  1.8             2.714596e-7     8.01293e-9       #dY:3.0%   
  1.85            2.652592e-7     7.82991e-9       #dY:3.0%   
  1.9             2.590397e-7     7.64632e-9       #dY:3.0%   
  1.95            2.527903e-7     7.46185e-9       #dY:3.0%   
  2               2.465374e-7     7.27728e-9       #dY:3.0%   
  2.05            2.403019e-7     3.75861e-9       #dY:1.6%   
  2.1             2.34101e-7      3.66162e-9       #dY:1.6%   
  2.15            2.279145e-7     3.56485e-9       #dY:1.6%   
  2.2             2.217791e-7     3.46889e-9       #dY:1.6%   
  2.25            2.157101e-7     3.37396e-9       #dY:1.6%   
  2.3             2.097164e-7     3.28021e-9       #dY:1.6%   
  2.35            2.037751e-7     3.18729e-9       #dY:1.6%   
  2.4             1.97949e-7      3.09616e-9       #dY:1.6%   
  2.45            1.92195e-7      3.00616e-9       #dY:1.6%   
  2.5             1.865449e-7     2.91778e-9       #dY:1.6%   
  2.55            1.810002e-7     2.83106e-9       #dY:1.6%   
  2.6             1.755544e-7     2.74588e-9       #dY:1.6%   
  2.65            1.702244e-7     2.66251e-9       #dY:1.6%   
  2.7             1.650129e-7     2.581e-9         #dY:1.6%   
  2.75            1.599135e-7     2.50124e-9       #dY:1.6%   
  2.8             1.5492e-7       2.42313e-9       #dY:1.6%   
  2.85            1.500636e-7     2.34717e-9       #dY:1.6%   
  2.9             1.45324e-7      2.27304e-9       #dY:1.6%   
