#ZVView-data-copy::  16-Sep-2026 17:11:29
#=======================================
#
#name:   INDEN-Aug2023: PU-239(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  642
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.20e-4         6.65617e-9      7.77314e-7       #dY:11678.1
  1.30e-4         6.927959e-9     8.09054e-7       #dY:11678.1
  1.40e-4         7.189483e-9     8.39595e-7       #dY:11678.1
  1.50e-4         7.441826e-9     8.69064e-7       #dY:11678.1
  1.60e-4         7.685883e-9     8.97565e-7       #dY:11678.1
  1.70e-4         7.922421e-9     9.25189e-7       #dY:11678.1
  1.80e-4         8.152105e-9     9.52011e-7       #dY:11678.1
  1.90e-4         8.37549e-9      9.78098e-7       #dY:11678.1
  2.00e-4         8.593072e-9     1.00351e-6       #dY:11678.1
  2.10e-4         8.805275e-9     1.02829e-6       #dY:11678.1
  2.20e-4         9.012488e-9     1.05249e-6       #dY:11678.1
  2.30e-4         9.215039e-9     1.07614e-6       #dY:11678.1
  2.40e-4         9.41322e-9      1.09929e-6       #dY:11678.1
  2.50e-4         9.607338e-9     1.12195e-6       #dY:11678.1
  2.60e-4         9.797592e-9     1.14417e-6       #dY:11678.1
  2.70e-4         9.984245e-9     1.16597e-6       #dY:11678.1
  2.80e-4         1.016745e-8     1.18737e-6       #dY:11678.1
  2.90e-4         1.034743e-8     1.20838e-6       #dY:11678.1
  3.00e-4         1.052432e-8     1.22904e-6       #dY:11678.1
  3.10e-4         1.069826e-8     1.24935e-6       #dY:11678.1
  3.20e-4         1.086945e-8     1.26935e-6       #dY:11678.1
  3.30e-4         1.103798e-8     1.28903e-6       #dY:11678.1
  3.40e-4         1.1204e-8       1.30841e-6       #dY:11678.1
  3.50e-4         1.136755e-8     1.32751e-6       #dY:11678.1
  3.60e-4         1.152879e-8     1.34634e-6       #dY:11678.1
  3.70e-4         1.168782e-8     1.36492e-6       #dY:11678.1
  3.80e-4         1.184469e-8     1.38324e-6       #dY:11678.1
  3.90e-4         1.19995e-8      1.40131e-6       #dY:11678.1
  4.00e-4         1.215245e-8     1.41918e-6       #dY:11678.1
  4.10e-4         1.230339e-8     1.4368e-6        #dY:11678.1
  4.20e-4         1.24525e-8      1.45422e-6       #dY:11678.1
  4.30e-4         1.259991e-8     1.47143e-6       #dY:11678.1
  4.40e-4         1.274555e-8     1.48844e-6       #dY:11678.1
  4.50e-4         1.288954e-8     1.50525e-6       #dY:11678.1
  4.60e-4         1.3032e-8       1.52189e-6       #dY:11678.1
  4.70e-4         1.317286e-8     1.53834e-6       #dY:11678.1
  4.80e-4         1.331225e-8     1.55462e-6       #dY:11678.1
  4.90e-4         1.345024e-8     1.57073e-6       #dY:11678.1
  5.00e-4         1.358681e-8     1.58668e-6       #dY:11678.1
  5.10e-4         1.372198e-8     1.60247e-6       #dY:11678.1
  5.20e-4         1.385583e-8     1.6181e-6        #dY:11678.1
  5.30e-4         1.398843e-8     1.63358e-6       #dY:11678.1
  5.40e-4         1.411976e-8     1.64892e-6       #dY:11678.1
  5.50e-4         1.424991e-8     1.66412e-6       #dY:11678.1
  5.60e-4         1.437888e-8     1.67918e-6       #dY:11678.1
  5.70e-4         1.45067e-8      1.69411e-6       #dY:11678.1
  5.80e-4         1.463338e-8     1.7089e-6        #dY:11678.1
  5.90e-4         1.475897e-8     1.72357e-6       #dY:11678.1
  6.00e-4         1.488353e-8     1.73811e-6       #dY:11678.1
  6.10e-4         1.500706e-8     1.75254e-6       #dY:11678.1
  6.20e-4         1.512956e-8     1.76685e-6       #dY:11678.1
  6.30e-4         1.525109e-8     1.78104e-6       #dY:11678.1
  6.40e-4         1.537164e-8     1.79512e-6       #dY:11678.1
  6.50e-4         1.549127e-8     1.80909e-6       #dY:11678.1
  6.60e-4         1.560994e-8     1.82295e-6       #dY:11678.1
  6.70e-4         1.572772e-8     1.8367e-6        #dY:11678.1
  6.80e-4         1.584468e-8     1.85036e-6       #dY:11678.1
  6.90e-4         1.596077e-8     1.86392e-6       #dY:11678.1
  7.00e-4         1.607599e-8     1.87737e-6       #dY:11678.1
  7.10e-4         1.619041e-8     1.89073e-6       #dY:11678.1
  7.20e-4         1.630402e-8     1.904e-6         #dY:11678.1
  7.30e-4         1.641687e-8     1.91718e-6       #dY:11678.1
  7.40e-4         1.652891e-8     1.93026e-6       #dY:11678.1
  7.50e-4         1.66402e-8      1.94326e-6       #dY:11678.1
  7.60e-4         1.675077e-8     1.95617e-6       #dY:11678.1
  7.70e-4         1.686058e-8     1.969e-6         #dY:11678.1
  7.80e-4         1.696973e-8     1.98174e-6       #dY:11678.1
  7.90e-4         1.707817e-8     1.99441e-6       #dY:11678.1
  8.00e-4         1.718586e-8     2.00698e-6       #dY:11678.1
  8.10e-4         1.729295e-8     2.01949e-6       #dY:11678.1
  8.20e-4         1.739934e-8     2.03191e-6       #dY:11678.1
  8.30e-4         1.750514e-8     2.04427e-6       #dY:11678.1
  8.40e-4         1.761025e-8     2.05654e-6       #dY:11678.1
  8.50e-4         1.771477e-8     2.06875e-6       #dY:11678.1
  8.60e-4         1.781867e-8     2.08088e-6       #dY:11678.1
  8.70e-4         1.792193e-8     2.09294e-6       #dY:11678.1
  8.80e-4         1.802464e-8     2.10494e-6       #dY:11678.1
  8.90e-4         1.812675e-8     2.11686e-6       #dY:11678.1
  9.00e-4         1.82283e-8      2.12872e-6       #dY:11678.1
  9.10e-4         1.832926e-8     2.14051e-6       #dY:11678.1
  9.20e-4         1.842964e-8     2.15223e-6       #dY:11678.1
  9.30e-4         1.852954e-8     2.1639e-6        #dY:11678.1
  9.40e-4         1.862893e-8     2.17551e-6       #dY:11678.1
  9.50e-4         1.872772e-8     2.18704e-6       #dY:11678.1
  9.60e-4         1.882602e-8     2.19852e-6       #dY:11678.1
  9.70e-4         1.892381e-8     2.20994e-6       #dY:11678.1
  9.80e-4         1.902109e-8     2.2213e-6        #dY:11678.1
  9.90e-4         1.911786e-8     2.2326e-6        #dY:11678.1
  1.00e-3         1.921417e-8     2.24385e-6       #dY:11678.1
  1.10e-3         2.015183e-8     2.35335e-6       #dY:11678.1
  1.20e-3         2.104769e-8     2.45797e-6       #dY:11678.1
  1.30e-3         2.190687e-8     2.55831e-6       #dY:11678.1
  1.40e-3         2.273363e-8     2.65486e-6       #dY:11678.1
  1.50e-3         2.353126e-8     2.74801e-6       #dY:11678.1
  1.60e-3         2.430271e-8     2.8381e-6        #dY:11678.1
  1.70e-3         2.50503e-8      2.9254e-6        #dY:11678.1
  1.80e-3         2.577616e-8     3.01017e-6       #dY:11678.1
  1.90e-3         2.648209e-8     3.09261e-6       #dY:11678.1
  2.00e-3         2.716966e-8     3.1729e-6        #dY:11678.1
  2.10e-3         2.784012e-8     3.2512e-6        #dY:11678.1
  2.20e-3         2.849483e-8     3.32766e-6       #dY:11678.1
  2.30e-3         2.913476e-8     3.40239e-6       #dY:11678.1
  2.40e-3         2.976089e-8     3.47551e-6       #dY:11678.1
  2.50e-3         3.037407e-8     3.54712e-6       #dY:11678.1
  2.60e-3         3.097499e-8     3.61729e-6       #dY:11678.1
