#ZVView-data-copy::  16-Sep-2026 17:15:19
#=======================================
#
#name:   JEFF-4.0: PU-239(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  642
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  9.90e-5         6.045772e-9     1.33701e-10      #dY:2.2%   
  1.00e-4         6.076229e-9     1.34375e-10      #dY:2.2%   
  1.10e-4         6.3728e-9       1.40933e-10      #dY:2.2%   
  1.20e-4         6.65617e-9      1.472e-10        #dY:2.2%   
  1.30e-4         6.927959e-9     1.5321e-10       #dY:2.2%   
  1.40e-4         7.189483e-9     1.58994e-10      #dY:2.2%   
  1.50e-4         7.441826e-9     1.64574e-10      #dY:2.2%   
  1.60e-4         7.685883e-9     1.69972e-10      #dY:2.2%   
  1.70e-4         7.922421e-9     1.75203e-10      #dY:2.2%   
  1.80e-4         8.152105e-9     1.80282e-10      #dY:2.2%   
  1.90e-4         8.37549e-9      1.85222e-10      #dY:2.2%   
  2.00e-4         8.593072e-9     1.90034e-10      #dY:2.2%   
  2.10e-4         8.805275e-9     1.94747e-10      #dY:2.2%   
  2.20e-4         9.012488e-9     1.9933e-10       #dY:2.2%   
  2.30e-4         9.215039e-9     2.0381e-10       #dY:2.2%   
  2.40e-4         9.41322e-9      2.08193e-10      #dY:2.2%   
  2.50e-4         9.607338e-9     2.12486e-10      #dY:2.2%   
  2.60e-4         9.797592e-9     2.16694e-10      #dY:2.2%   
  2.70e-4         9.984245e-9     2.20822e-10      #dY:2.2%   
  2.80e-4         1.016745e-8     2.24874e-10      #dY:2.2%   
  2.90e-4         1.034743e-8     2.28855e-10      #dY:2.2%   
  3.00e-4         1.052432e-8     2.32767e-10      #dY:2.2%   
  3.10e-4         1.069826e-8     2.36614e-10      #dY:2.2%   
  3.20e-4         1.086945e-8     2.40401e-10      #dY:2.2%   
  3.30e-4         1.103798e-8     2.44128e-10      #dY:2.2%   
  3.40e-4         1.1204e-8       2.478e-10        #dY:2.2%   
  3.50e-4         1.136755e-8     2.51417e-10      #dY:2.2%   
  3.60e-4         1.152879e-8     2.54983e-10      #dY:2.2%   
  3.70e-4         1.168782e-8     2.58501e-10      #dY:2.2%   
  3.80e-4         1.184469e-8     2.6197e-10       #dY:2.2%   
  3.90e-4         1.19995e-8      2.65394e-10      #dY:2.2%   
  4.00e-4         1.215245e-8     2.68777e-10      #dY:2.2%   
  4.10e-4         1.230339e-8     2.72099e-10      #dY:2.2%   
  4.20e-4         1.24525e-8      2.75397e-10      #dY:2.2%   
  4.30e-4         1.259991e-8     2.78657e-10      #dY:2.2%   
  4.40e-4         1.274555e-8     2.81878e-10      #dY:2.2%   
  4.50e-4         1.288954e-8     2.85062e-10      #dY:2.2%   
  4.60e-4         1.3032e-8       2.88213e-10      #dY:2.2%   
  4.70e-4         1.317286e-8     2.91328e-10      #dY:2.2%   
  4.80e-4         1.331225e-8     2.94411e-10      #dY:2.2%   
  4.90e-4         1.345024e-8     2.97462e-10      #dY:2.2%   
  5.00e-4         1.358681e-8     3.00483e-10      #dY:2.2%   
  5.10e-4         1.372198e-8     3.03472e-10      #dY:2.2%   
  5.20e-4         1.385583e-8     3.06432e-10      #dY:2.2%   
  5.30e-4         1.398843e-8     3.09365e-10      #dY:2.2%   
  5.40e-4         1.411976e-8     3.12269e-10      #dY:2.2%   
  5.50e-4         1.424991e-8     3.15148e-10      #dY:2.2%   
  5.60e-4         1.437888e-8     3.18e-10         #dY:2.2%   
  5.70e-4         1.45067e-8      3.20827e-10      #dY:2.2%   
  5.80e-4         1.463338e-8     3.23628e-10      #dY:2.2%   
  5.90e-4         1.475897e-8     3.26406e-10      #dY:2.2%   
  6.00e-4         1.488353e-8     3.29161e-10      #dY:2.2%   
  6.10e-4         1.500706e-8     3.31893e-10      #dY:2.2%   
  6.20e-4         1.512956e-8     3.34603e-10      #dY:2.2%   
  6.30e-4         1.525109e-8     3.3729e-10       #dY:2.2%   
  6.40e-4         1.537164e-8     3.39956e-10      #dY:2.2%   
  6.50e-4         1.549127e-8     3.42602e-10      #dY:2.2%   
  6.60e-4         1.560994e-8     3.45227e-10      #dY:2.2%   
  6.70e-4         1.572772e-8     3.47831e-10      #dY:2.2%   
  6.80e-4         1.584468e-8     3.50418e-10      #dY:2.2%   
  6.90e-4         1.596077e-8     3.52985e-10      #dY:2.2%   
  7.00e-4         1.607599e-8     3.55534e-10      #dY:2.2%   
  7.10e-4         1.619041e-8     3.58064e-10      #dY:2.2%   
  7.20e-4         1.630402e-8     3.60577e-10      #dY:2.2%   
  7.30e-4         1.641687e-8     3.63072e-10      #dY:2.2%   
  7.40e-4         1.652891e-8     3.6555e-10       #dY:2.2%   
  7.50e-4         1.66402e-8      3.68012e-10      #dY:2.2%   
  7.60e-4         1.675077e-8     3.70457e-10      #dY:2.2%   
  7.70e-4         1.686058e-8     3.72885e-10      #dY:2.2%   
  7.80e-4         1.696973e-8     3.75299e-10      #dY:2.2%   
  7.90e-4         1.707817e-8     3.77698e-10      #dY:2.2%   
  8.00e-4         1.718586e-8     3.80079e-10      #dY:2.2%   
  8.10e-4         1.729295e-8     3.82455e-10      #dY:2.2%   
  8.20e-4         1.739934e-8     3.84808e-10      #dY:2.2%   
  8.30e-4         1.750514e-8     3.87147e-10      #dY:2.2%   
  8.40e-4         1.761025e-8     3.89472e-10      #dY:2.2%   
  8.50e-4         1.771477e-8     3.91784e-10      #dY:2.2%   
  8.60e-4         1.781867e-8     3.94082e-10      #dY:2.2%   
  8.70e-4         1.792193e-8     3.96365e-10      #dY:2.2%   
