Entry,DatasetID,idat,DATA,DATA-ERR,units
C0683,C0683003,71,-0.02,-0.021,NO-DIM
C0683,C0683003,72,-0.044,-0.038,NO-DIM
C0683,C0683003,73,-0.112,-0.025,NO-DIM
C0683,C0683003,74,-0.149,-0.03,NO-DIM
C0683,C0683003,75,-0.076,-0.035,NO-DIM
